History|Accuracy|f1_score|Accuracy_Validacion|f1_score_Validacion|Time Seconds|Folder
<keras.callbacks.History object at 0x7fede0249490>|0.8563218390804598|0.855246081661176|0.9025974025974026|0.9018983309975792|531.8030581474304|Fold3
<keras.callbacks.History object at 0x7fed4703dc90>|0.9482758620689655|0.9463459759481961|0.9415584415584416|0.9411389985985475|532.1036574840546|Fold7
<keras.callbacks.History object at 0x7fed44232c50>|0.9252873563218391|0.9217490573217559|0.8636363636363636|0.8634924654932252|532.9958798885345|Fold9
<keras.callbacks.History object at 0x7febdd864090>|0.9425287356321839|0.9424069905997616|0.9025974025974026|0.9016644672427738|529.122743844986|Fold1
<keras.callbacks.History object at 0x7febda02a210>|0.8735632183908046|0.873546511627907|0.9155844155844156|0.913984962406015|532.5407297611237|Fold0
<keras.callbacks.History object at 0x7febd687a590>|0.9022988505747126|0.9002394522950321|0.922077922077922|0.9209986320109439|534.6517686843872|Fold2
<keras.callbacks.History object at 0x7febd3087ed0>|0.9137931034482759|0.9131476489967056|0.9025974025974026|0.9023957409050576|531.5157709121704|Fold4
<keras.callbacks.History object at 0x7febd0bf3490>|0.896551724137931|0.895877659574468|0.9090909090909091|0.9080988917306052|527.9297320842743|Fold8
<keras.callbacks.History object at 0x7febce4b86d0>|0.8793103448275862|0.8789865871833085|0.961038961038961|0.9608009502799932|525.4848132133484|Fold5
<keras.callbacks.History object at 0x7febc8854c50>|0.9195402298850575|0.9194444444444444|0.935064935064935|0.9341655266757866|528.7774167060852|Fold6
